group,b,N,batch,factor_idx,log_n,time_ms
single_factor,2,4096,16,3,11,0.12782591819763184
single_factor,2,4096,16,4,11,0.12822527885437013
single_factor,2,4096,16,5,11,0.12767231941223145
single_factor,2,4096,16,6,11,0.12808192253112793
single_factor,2,4096,16,7,11,0.12775424003601074
single_factor,2,4096,16,8,11,0.12743680000305177
single_factor,2,4096,16,9,11,0.12774399757385255
single_factor,2,4096,16,10,11,0.12790783882141113
single_factor,2,4096,32,0,11,0.10575872421264648
single_factor,2,4096,32,1,11,0.12818431854248047
single_factor,2,4096,32,2,11,0.1283891201019287
single_factor,2,4096,32,3,11,0.12775424003601074
single_factor,2,4096,32,4,11,0.1278771209716797
single_factor,2,4096,32,5,11,0.1277952003479004
single_factor,2,4096,32,6,11,0.12804096221923827
single_factor,2,4096,32,7,11,0.1284607982635498
single_factor,2,4096,32,8,11,0.12915712356567383
single_factor,2,4096,32,9,11,0.12876799583435058
single_factor,2,4096,32,10,11,0.12860416412353515
single_factor,2,4096,64,0,11,0.10587136268615722
single_factor,2,4096,64,1,11,0.1285529613494873
single_factor,2,4096,64,2,11,0.1278054428100586
single_factor,2,4096,64,3,11,0.1286963176727295
single_factor,2,4096,64,4,11,0.12834815979003905
single_factor,2,4096,64,5,11,0.1275596809387207
single_factor,2,4096,64,6,11,0.12937215805053712
single_factor,2,4096,64,7,11,0.12790783882141113
single_factor,2,4096,64,8,11,0.12808192253112793
single_factor,2,4096,64,9,11,0.12830719947814942
single_factor,2,4096,64,10,11,0.12872703552246093
single_factor,2,4096,128,0,11,0.10604543685913086
single_factor,2,4096,128,1,11,0.12815360069274903
single_factor,2,4096,128,2,11,0.1276211166381836
single_factor,2,4096,128,3,11,0.12771327972412108
single_factor,2,4096,128,4,11,0.12806143760681152
single_factor,2,4096,128,5,11,0.1278668785095215
single_factor,2,4096,128,6,11,0.12803071975708008
single_factor,2,4096,128,7,11,0.1285324764251709
single_factor,2,4096,128,8,11,0.1282150363922119
single_factor,2,4096,128,9,11,0.1294643211364746
single_factor,2,4096,128,10,11,0.1280512046813965
single_factor,2,4096,256,0,11,0.10612735748291016
single_factor,2,4096,256,1,11,0.13273088455200197
single_factor,2,4096,256,2,11,0.12992511749267577
single_factor,2,4096,256,3,11,0.1302015972137451
single_factor,2,4096,256,4,11,0.1296076774597168
single_factor,2,4096,256,5,11,0.13066240310668945
single_factor,2,4096,256,6,11,0.12975104331970214
single_factor,2,4096,256,7,11,0.1297817611694336
single_factor,2,4096,256,8,11,0.13006848335266114
single_factor,2,4096,256,9,11,0.1302732753753662
single_factor,2,4096,256,10,11,0.13048831939697267
single_factor,2,4096,512,0,11,0.1701068878173828
