,patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
17428,"[[2, 192, 192, 4]]",25088,bmm,0.000549523581285,0.000549523581285,0.0,[0.0005495235812850297],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17429,"[[2, 192, 192, 16]]",25088,bmm,0.0021423816797323,0.0021423816797323,0.0,[0.0021423816797323525],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17430,"[[2, 192, 192, 64]]",25088,bmm,0.0086515757488086,0.0086515757488086,1.964236143976554e-05,"[0.008631933387368918, 0.008671218110248447]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17431,"[[2, 192, 768, 4]]",25088,bmm,0.0015363725484348,0.0015363725484348,0.0,[0.0015363725484348833],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17432,"[[2, 192, 768, 16]]",25088,bmm,0.0061518490547314,0.0061518490547314,1.4363951049745777e-05,"[0.006137485103681684, 0.0061662130057811735]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17433,"[[2, 256, 256, 4]]",25088,bmm,0.0007346070487983,0.0007346070487983,0.0,[0.0007346070487983525],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17434,"[[2, 256, 256, 16]]",25088,bmm,0.0028470616601407,0.0028470616601407,0.0,[0.002847061660140753],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17435,"[[2, 256, 256, 64]]",25088,bmm,0.0114590427489019,0.0114590427489019,8.511345367877635e-06,"[0.011467554094269871, 0.011450531403534114]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17436,"[[2, 384, 96, 4]]",25088,bmm,0.0006604492012411,0.0006604492012411,0.0,[0.0006604492012411356],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17437,"[[2, 384, 96, 16]]",25088,bmm,0.002608320810832,0.002608320810832,0.0,[0.0026083208108320832],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17438,"[[2, 384, 96, 64]]",25088,bmm,0.0101490200962871,0.0101490200962871,1.0309973731657818e-06,"[0.010150051093660295, 0.010147989098913967]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17439,"[[2, 384, 384, 4]]",25088,bmm,0.0011673772498033,0.0011673772498033,0.0,[0.0011673772498033942],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17440,"[[2, 384, 384, 16]]",25088,bmm,0.0046475043613463,0.0046475043613463,0.0,[0.004647504361346364],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17441,"[[2, 384, 384, 64]]",25088,bmm,0.0178999147959984,0.0178999147959984,5.0390197429806e-05,"[0.01795030499342829, 0.01784952459856868]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17442,"[[2, 512, 512, 4]]",25088,bmm,0.0017181661585345,0.0017181661585345,0.0,[0.0017181661585345864],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17443,"[[2, 512, 512, 16]]",25088,bmm,0.0068870361289009,0.0068870361289009,0.0,[0.0068870361289009455],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17444,"[[2, 512, 512, 64]]",25088,bmm,0.0267402849975042,0.0267402849975042,9.606558596714916e-05,"[0.02664421941153705, 0.026836350583471356]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17445,"[[2, 768, 192, 4]]",25088,bmm,0.001444591761101,0.001444591761101,0.0,[0.0014445917611010373],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17446,"[[2, 768, 192, 16]]",25088,bmm,0.0057487909100018,0.0057487909100018,0.0,[0.005748790910001844],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17447,"[[2, 768, 768, 4]]",25088,bmm,0.00329888851149,0.00329888851149,0.0,[0.0032988885114900767],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17448,"[[2, 768, 768, 16]]",25088,bmm,0.0131747436476871,0.0131747436476871,4.7247856855392456e-05,"[0.01322199150454253, 0.013127495790831745]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17449,"[[2, 1024, 1024, 4]]",25088,bmm,0.0051164051890373,0.0051164051890373,0.0,[0.005116405189037323],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17450,"[[2, 1024, 1024, 16]]",25088,bmm,0.0202968139550648,0.0202968139550648,0.000118823244702,"[0.020177990710362793, 0.020415637199766933]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
