group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,stage_bmm_ms,total_chain_triton_ms,total_chain_bmm_ms
group2,2048,11,512,4,64,2,2,16,0.088924,0.106639,,
group2,2048,11,512,5,32,2,2,32,0.088320,0.106101,,
group2,2048,11,512,6,16,2,2,64,0.088946,0.106372,,
group2,2048,11,512,7,8,2,2,128,0.088256,0.106273,,
group2,2048,11,512,8,4,2,2,256,0.089018,0.106586,,
group2,2048,11,512,9,2,2,2,512,0.088607,0.106211,,
group2,2048,11,512,10,1,2,2,1024,0.089363,0.110745,,
group2,2048,11,1024,0,1024,2,2,1,0.088204,0.078474,1.016615,1.191813
group2,2048,11,1024,1,512,2,2,2,0.088893,0.106347,,
group2,2048,11,1024,2,256,2,2,4,0.087827,0.106474,,
group2,2048,11,1024,3,128,2,2,8,0.088520,0.106426,,
group2,2048,11,1024,4,64,2,2,16,0.087855,0.106461,,
group2,2048,11,1024,5,32,2,2,32,0.088317,0.106017,,
group2,2048,11,1024,6,16,2,2,64,0.088035,0.106742,,
group2,2048,11,1024,7,8,2,2,128,0.088207,0.106448,,
group2,2048,11,1024,8,4,2,2,256,0.087966,0.106586,,
group2,2048,11,1024,9,2,2,2,512,0.089035,0.106599,,
group2,2048,11,1024,10,1,2,2,1024,0.088067,0.110804,,
group2,2048,11,2048,0,1024,2,2,1,0.157112,0.152100,1.769673,2.036891
group2,2048,11,2048,1,512,2,2,2,0.158563,0.193196,,
group2,2048,11,2048,2,256,2,2,4,0.158876,0.193037,,
group2,2048,11,2048,3,128,2,2,8,0.158593,0.193096,,
group2,2048,11,2048,4,64,2,2,16,0.158860,0.193094,,
group2,2048,11,2048,5,32,2,2,32,0.158579,0.192775,,
group2,2048,11,2048,6,16,2,2,64,0.158887,0.192820,,
group2,2048,11,2048,7,8,2,2,128,0.158590,0.191633,,
group2,2048,11,2048,8,4,2,2,256,0.158879,0.191739,,
group2,2048,11,2048,9,2,2,2,512,0.158567,0.193166,,
group2,2048,11,2048,10,1,2,2,1024,0.158891,0.193222,,
group2,2048,11,4096,0,1024,2,2,1,0.305184,0.302837,3.429780,4.143214
group2,2048,11,4096,1,512,2,2,2,0.308630,0.383493,,
group2,2048,11,4096,2,256,2,2,4,0.308600,0.383444,,
group2,2048,11,4096,3,128,2,2,8,0.308485,0.383514,,
group2,2048,11,4096,4,64,2,2,16,0.308604,0.383628,,
group2,2048,11,4096,5,32,2,2,32,0.308512,0.382355,,
group2,2048,11,4096,6,16,2,2,64,0.308599,0.382475,,
group2,2048,11,4096,7,8,2,2,128,0.308516,0.375243,,
group2,2048,11,4096,8,4,2,2,256,0.308588,0.376000,,
group2,2048,11,4096,9,2,2,2,512,0.308494,0.382885,,
group2,2048,11,4096,10,1,2,2,1024,0.308602,0.383081,,
group2,4096,12,2,0,2048,2,2,1,0.083211,0.063418,1.042063,1.205927
group2,4096,12,2,1,1024,2,2,2,0.083103,0.099450,,
group2,4096,12,2,2,512,2,2,4,0.083417,0.099378,,
group2,4096,12,2,3,256,2,2,8,0.083506,0.098911,,
group2,4096,12,2,4,128,2,2,16,0.083196,0.099019,,
group2,4096,12,2,5,64,2,2,32,0.083069,0.098508,,
group2,4096,12,2,6,32,2,2,64,0.083341,0.098891,,
group2,4096,12,2,7,16,2,2,128,0.083566,0.098662,,
group2,4096,12,2,8,8,2,2,256,0.083615,0.098875,,
group2,4096,12,2,9,4,2,2,512,0.082971,0.098737,,
group2,4096,12,2,10,2,2,2,1024,0.083186,0.098959,,
group2,4096,12,2,11,1,2,2,2048,0.082870,0.101805,,
group2,4096,12,4,0,2048,2,2,1,0.084044,0.063438,1.044472,1.212884
group2,4096,12,4,1,1024,2,2,2,0.083568,0.100349,,
group2,4096,12,4,2,512,2,2,4,0.083897,0.100131,,
group2,4096,12,4,3,256,2,2,8,0.083774,0.099923,,
group2,4096,12,4,4,128,2,2,16,0.083376,0.099985,,
group2,4096,12,4,5,64,2,2,32,0.083654,0.099953,,
group2,4096,12,4,6,32,2,2,64,0.083388,0.099767,,
group2,4096,12,4,7,16,2,2,128,0.083499,0.099396,,
group2,4096,12,4,8,8,2,2,256,0.083660,0.099823,,
group2,4096,12,4,9,4,2,2,512,0.083871,0.099878,,
group2,4096,12,4,10,2,2,2,1024,0.083394,0.099911,,
group2,4096,12,4,11,1,2,2,2048,0.083899,0.103011,,
group2,4096,12,8,0,2048,2,2,1,0.083972,0.062841,1.044756,1.212571
group2,4096,12,8,1,1024,2,2,2,0.084205,0.099272,,
group2,4096,12,8,2,512,2,2,4,0.083766,0.098939,,
group2,4096,12,8,3,256,2,2,8,0.083713,0.098814,,
group2,4096,12,8,4,128,2,2,16,0.083393,0.099239,,
group2,4096,12,8,5,64,2,2,32,0.083406,0.098837,,
group2,4096,12,8,6,32,2,2,64,0.083102,0.099037,,
group2,4096,12,8,7,16,2,2,128,0.083669,0.098983,,
group2,4096,12,8,8,8,2,2,256,0.083531,0.099072,,
group2,4096,12,8,9,4,2,2,512,0.083600,0.099041,,
group2,4096,12,8,10,2,2,2,1024,0.083559,0.099256,,
group2,4096,12,8,11,1,2,2,2048,0.083962,0.102019,,
group2,4096,12,16,0,2048,2,2,1,0.084685,0.063442,1.057324,1.223252
group2,4096,12,16,1,1024,2,2,2,0.084470,0.100124,,
group2,4096,12,16,2,512,2,2,4,0.084013,0.100194,,
group2,4096,12,16,3,256,2,2,8,0.083728,0.100019,,
group2,4096,12,16,4,128,2,2,16,0.083724,0.099697,,
group2,4096,12,16,5,64,2,2,32,0.083312,0.099757,,
group2,4096,12,16,6,32,2,2,64,0.083991,0.099866,,
group2,4096,12,16,7,16,2,2,128,0.083942,0.099148,,
group2,4096,12,16,8,8,2,2,256,0.084683,0.099772,,
group2,4096,12,16,9,4,2,2,512,0.084257,0.099783,,
group2,4096,12,16,10,2,2,2,1024,0.084089,0.099796,,
group2,4096,12,16,11,1,2,2,2048,0.084481,0.103426,,
group2,4096,12,32,0,2048,2,2,1,0.084525,0.062708,1.051130,1.218059
group2,4096,12,32,1,1024,2,2,2,0.083892,0.099575,,
group2,4096,12,32,2,512,2,2,4,0.084141,0.098795,,
group2,4096,12,32,3,256,2,2,8,0.083861,0.099655,,
group2,4096,12,32,4,128,2,2,16,0.083825,0.099096,,
group2,4096,12,32,5,64,2,2,32,0.083918,0.099716,,
