group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,total_chain_triton_ms
group2,4096,12,2048,5,64,2,2,32,0.314218,
group2,4096,12,2048,6,32,2,2,64,0.313496,
group2,4096,12,2048,7,16,2,2,128,0.314216,
group2,4096,12,2048,8,8,2,2,256,0.313459,
group2,4096,12,2048,9,4,2,2,512,0.314038,
group2,4096,12,2048,10,2,2,2,1024,0.313474,
group2,4096,12,2048,11,1,2,2,2048,0.314170,
group2,4096,12,4096,0,2048,2,2,1,0.609570,7.556204
group2,4096,12,4096,1,1024,2,2,2,0.618228,
group2,4096,12,4096,2,512,2,2,4,0.618914,
group2,4096,12,4096,3,256,2,2,8,0.618327,
group2,4096,12,4096,4,128,2,2,16,0.618882,
group2,4096,12,4096,5,64,2,2,32,0.616589,
group2,4096,12,4096,6,32,2,2,64,0.617973,
group2,4096,12,4096,7,16,2,2,128,0.616836,
group2,4096,12,4096,8,8,2,2,256,0.618367,
group2,4096,12,4096,9,4,2,2,512,0.616806,
group2,4096,12,4096,10,2,2,2,1024,0.618220,
group2,4096,12,4096,11,1,2,2,2048,0.619951,
